"","Site","Site.Code.x","Sampling.Time","Unique.ID","Plot.ID","Site.code","locale","ocean","margin","Janines.sites","Site.Code.y","Subsite","Subsite.Name","Ocean","Coast","Basin","First.Year.In.ZEN","Latitude","Longitude"
"89","CR.A","CR",1,"CR.A.1.9",9,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"90","CR.A","CR",1,"CR.A.1.10",10,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"91","CR.A","CR",1,"CR.A.1.11",11,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"92","CR.A","CR",1,"CR.A.1.12",12,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"93","CR.A","CR",1,"CR.A.1.13",13,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"94","CR.A","CR",1,"CR.A.1.14",14,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"95","CR.A","CR",1,"CR.A.1.15",15,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"96","CR.A","CR",1,"CR.A.1.16",16,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"97","CR.A","CR",1,"CR.A.1.17",17,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"98","CR.A","CR",1,"CR.A.1.18",18,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"99","CR.A","CR",1,"CR.A.1.19",19,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"100","CR.A","CR",1,"CR.A.1.20",20,"CR","A","Med","central","CroA","CR","A","Posedarje","Atlantic","East.Atlantic","East",2014,44.21154996,15.4906946
"101","CR.B","CR",1,"CR.B.1.1",1,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"102","CR.B","CR",1,"CR.B.1.2",2,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"103","CR.B","CR",1,"CR.B.1.3",3,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"104","CR.B","CR",1,"CR.B.1.4",4,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"105","CR.B","CR",1,"CR.B.1.5",5,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"106","CR.B","CR",1,"CR.B.1.6",6,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"107","CR.B","CR",1,"CR.B.1.7",7,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"108","CR.B","CR",1,"CR.B.1.8",8,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"109","CR.B","CR",1,"CR.B.1.9",9,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"110","CR.B","CR",1,"CR.B.1.10",10,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"111","CR.B","CR",1,"CR.B.1.11",11,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"112","CR.B","CR",1,"CR.B.1.12",12,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"113","CR.B","CR",1,"CR.B.1.13",13,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"114","CR.B","CR",1,"CR.B.1.14",14,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"115","CR.B","CR",1,"CR.B.1.15",15,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"116","CR.B","CR",1,"CR.B.1.16",16,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"117","CR.B","CR",1,"CR.B.1.17",17,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"118","CR.B","CR",1,"CR.B.1.18",18,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"119","CR.B","CR",1,"CR.B.1.19",19,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"120","CR.B","CR",1,"CR.B.1.20",20,"CR","B","Med","central","CroB","CR","B","Sveti Duh","Atlantic","East.Atlantic","East",2014,44.20557132,15.47773378
"121","ES.A","ES",1,"ES.A.1.1",1,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"122","ES.A","ES",1,"ES.A.1.2",2,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"123","ES.A","ES",1,"ES.A.1.3",3,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"124","ES.A","ES",1,"ES.A.1.4",4,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"125","ES.A","ES",1,"ES.A.1.5",5,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"126","ES.A","ES",1,"ES.A.1.6",6,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"127","ES.A","ES",1,"ES.A.1.7",7,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"128","ES.A","ES",1,"ES.A.1.8",8,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"129","ES.A","ES",1,"ES.A.1.9",9,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"130","ES.A","ES",1,"ES.A.1.10",10,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"131","ES.A","ES",1,"ES.A.1.11",11,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"132","ES.A","ES",1,"ES.A.1.12",12,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"133","ES.A","ES",1,"ES.A.1.13",13,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"134","ES.A","ES",1,"ES.A.1.14",14,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"135","ES.A","ES",1,"ES.A.1.15",15,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"136","ES.A","ES",1,"ES.A.1.16",16,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"137","ES.A","ES",1,"ES.A.1.17",17,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"138","ES.A","ES",1,"ES.A.1.18",18,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"139","ES.A","ES",1,"ES.A.1.19",19,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"140","ES.A","ES",1,"ES.A.1.20",20,"ES","A","Atlantic","west","VA2A","ES","A","South Bay","Atlantic","West.Atlantic","West",2014,37.265686,-75.812668
"141","ES.B","ES",1,"ES.B.1.1",1,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"142","ES.B","ES",1,"ES.B.1.2",2,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"143","ES.B","ES",1,"ES.B.1.3",3,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"144","ES.B","ES",1,"ES.B.1.4",4,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"145","ES.B","ES",1,"ES.B.1.5",5,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"146","ES.B","ES",1,"ES.B.1.6",6,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"147","ES.B","ES",1,"ES.B.1.7",7,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"148","ES.B","ES",1,"ES.B.1.8",8,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"149","ES.B","ES",1,"ES.B.1.9",9,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"150","ES.B","ES",1,"ES.B.1.10",10,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
"151","ES.B","ES",1,"ES.B.1.11",11,"ES","B","Atlantic","west","VA2B","ES","B","Cobb Bay","Atlantic","West.Atlantic","West",2014,37.31855,-75.789076
